epoca,train_loss,train_acc,val_loss,val_acc,tiempo_s,experimento
1,0.9724333173309276,0.5187800634530755,0.948147367208432,0.5546459271387638,148.38806414604187,exp_bigru_2layers_dim128_drop0.3
2,0.7956699978292378,0.6473237130283492,0.8679707600520208,0.6217765042979942,153.10491490364075,exp_bigru_2layers_dim128_drop0.3
3,0.6793417270277061,0.7156892846177464,0.7995485632847517,0.6598444535407286,158.613765001297,exp_bigru_2layers_dim128_drop0.3
4,0.5836785609036489,0.7614369051274179,0.8389937037076706,0.6692591076545231,152.3491289615631,exp_bigru_2layers_dim128_drop0.3
5,0.4924800614126367,0.8074915566472214,0.9896895847259424,0.6369218174375767,151.09401297569275,exp_bigru_2layers_dim128_drop0.3
