epoca,train_loss,train_acc,val_loss,val_acc,tiempo_s,experimento
1,1.0235588425904318,0.4646402619997953,0.9841158619293799,0.5047073270568972,57.35601472854614,exp_bilstm_dim128_drop0.5
2,0.8680246577543371,0.6047487462900419,0.9420543450575608,0.5628325828898895,56.83873510360718,exp_bilstm_dim128_drop0.5
3,0.7404472898034489,0.6777197830314196,0.9988293021153181,0.6090871878837495,56.7228569984436,exp_bilstm_dim128_drop0.5
4,0.6444951089379055,0.7352369255961518,0.8988762864699731,0.6250511665984445,58.409491777420044,exp_bilstm_dim128_drop0.5
5,0.5604786056708666,0.7777095486644151,0.861189420406635,0.66189111747851,59.666563987731934,exp_bilstm_dim128_drop0.5
