epoca,train_loss,train_acc,val_loss,val_acc,tiempo_s,experimento
1,1.0134141538657395,0.4768191587350322,0.9674104207601303,0.5182153090462546,79.742840051651,exp_bilstm_dim128_drop0.3
2,0.8433047521348093,0.6206120151468631,0.9169083833694458,0.5779778960294719,78.14121127128601,exp_bilstm_dim128_drop0.3
3,0.7116213137028264,0.6911268038071845,0.9582948210911874,0.6176831764224314,82.10948181152344,exp_bilstm_dim128_drop0.3
4,0.6174146725850946,0.7440384812199365,0.858729824041709,0.6377404830126893,79.59846687316895,exp_bilstm_dim128_drop0.3
5,0.5269257864531349,0.7926517244908402,0.8757072656582563,0.6508391322144904,77.15399432182312,exp_bilstm_dim128_drop0.3
