epoca,train_loss,train_acc,val_loss,val_acc,tiempo_s,experimento
1,0.95689277789172,0.5370995803909528,0.8445725181163886,0.6303724928366762,72.20094895362854,exp_bigru_pool_dim256_drop0.3
2,0.7493145884641634,0.6728072868693071,0.761435866355896,0.6766270978305362,71.28335809707642,exp_bigru_pool_dim256_drop0.3
3,0.6360302633709378,0.7380002046873401,0.7094187109898298,0.7065083913221449,67.65613508224487,exp_bigru_pool_dim256_drop0.3
4,0.550502373307359,0.7796540783952512,0.730336450613462,0.7077363896848138,65.88963103294373,exp_bigru_pool_dim256_drop0.3
5,0.47741490115527235,0.8117899907890697,0.711171554449277,0.7159230454359394,57.403432846069336,exp_bigru_pool_dim256_drop0.3
