epoca,train_loss,train_acc,val_loss,val_acc,tiempo_s,experimento
1,1.0053041573443444,0.487360556749565,1.0141732371770418,0.5088006549324601,70.43942880630493,exp_bigru_dim128_drop0.3
2,0.8370799523553037,0.6138573329239586,0.8943405518165002,0.6004911993450676,70.45668816566467,exp_bigru_dim128_drop0.3
3,0.7110541649893218,0.6923549278477126,0.7909178061363025,0.6586164551780598,71.89235281944275,exp_bigru_dim128_drop0.3
4,0.610553399799696,0.7449595742503327,0.7685295801896316,0.667621776504298,74.19861817359924,exp_bigru_dim128_drop0.3
5,0.5306293596239651,0.7836454815269676,0.7863478905115372,0.6725337699549734,75.71422410011292,exp_bigru_dim128_drop0.3
