epoca,train_loss,train_acc,val_loss,val_acc,tiempo_s,experimento
1,0.97122003401027,0.5111042881997748,1.0558251325900738,0.5435939418747442,166.1899127960205,exp_bilstm_2layers_dim128_drop0.3
2,0.7771341508510066,0.657660423702794,0.8975202349516062,0.612771182971756,158.4442582130432,exp_bilstm_2layers_dim128_drop0.3
3,0.6592540329967449,0.7274588066728073,0.9744642438032688,0.6246418338108882,165.15973687171936,exp_bilstm_2layers_dim128_drop0.3
4,0.5623751600193821,0.7740251765428309,0.9355543653170267,0.6500204666393778,157.5704951286316,exp_bilstm_2layers_dim128_drop0.3
5,0.46824119585791446,0.8215126394432505,0.8785727161627549,0.6913630781825624,150.54652380943298,exp_bilstm_2layers_dim128_drop0.3
