epoca,train_loss,train_acc,val_loss,val_acc,tiempo_s,experimento
1,0.9904048123390846,0.513662879950875,0.9033684073350369,0.58370855505526,75.73351502418518,exp_bilstm_dim256_drop0.3
2,0.7861492848084644,0.6564322996622659,0.7769760902111347,0.6713057715923045,70.61959886550903,exp_bilstm_dim256_drop0.3
3,0.6400559906866036,0.73646504963668,0.7246648226028833,0.695047073270569,71.64063787460327,exp_bilstm_dim256_drop0.3
4,0.5338804024496889,0.7866134479582437,0.737338947944152,0.6872697503069995,70.26808404922485,exp_bilstm_dim256_drop0.3
5,0.4334999767004275,0.8316446627776072,0.7169541961107498,0.7081457224723701,72.97409200668335,exp_bilstm_dim256_drop0.3
