epoca,train_loss,train_acc,val_loss,val_acc,tiempo_s,experimento
1,0.9851166080026066,0.5098761641592467,0.8838992179968418,0.602537863282849,77.74622011184692,exp_bigru_dim256_drop0.3
2,0.7807511759349723,0.6552041756217378,0.8046077275887514,0.6512484650020467,67.89730715751648,exp_bigru_dim256_drop0.3
3,0.6391378487247268,0.7314502098045236,0.7570205560097327,0.6717151043798608,67.64868497848511,exp_bigru_dim256_drop0.3
4,0.532370090874192,0.7863064169481118,0.7354836204113104,0.6938190749079001,66.36615991592407,exp_bigru_dim256_drop0.3
5,0.4418717959737466,0.828062634326067,0.7416122311200851,0.6934097421203438,66.20764183998108,exp_bigru_dim256_drop0.3
