epoca,train_loss,train_acc,val_loss,val_acc,tiempo_s,experimento
1,0.9455304589926028,0.5434448879336813,0.9134245331470783,0.579615227179697,107.02297878265381,exp_bigru_pool_2layers_dim128_drop0.3
2,0.7766067093493891,0.6604237027939822,0.8282800347377093,0.6492018010642653,108.00797986984253,exp_bigru_pool_2layers_dim128_drop0.3
3,0.6635601452363082,0.7259236516221471,0.7755209566690983,0.6762177650429799,109.578537940979,exp_bigru_pool_2layers_dim128_drop0.3
4,0.574514580707924,0.7675775253300583,0.800164445852622,0.6942284076954564,107.33853006362915,exp_bigru_pool_2layers_dim128_drop0.3
5,0.4929605997076221,0.8039095281956811,0.9869419099428715,0.6512484650020467,108.36487793922424,exp_bigru_pool_2layers_dim128_drop0.3
