epoca,train_loss,train_acc,val_loss,val_acc,tiempo_s,experimento
1,1.0191815207207124,0.4807082181967045,0.9812349936900995,0.5153499795333606,65.81347703933716,exp_bigru_dim128_drop0.5
2,0.8616147703594632,0.5978917203970935,0.9108982361280001,0.5890298812934917,65.60514688491821,exp_bigru_dim128_drop0.5
3,0.7388195952558829,0.6825299355234878,0.7942089896935683,0.6549324600900532,63.50050711631775,exp_bigru_dim128_drop0.5
4,0.6424366736334134,0.7295056800736874,0.7683483790128659,0.6770364306180925,60.91002702713013,exp_bigru_dim128_drop0.5
5,0.5603314367384692,0.775253300583359,0.7605838042039138,0.6831764224314367,61.591431856155396,exp_bigru_dim128_drop0.5
