epoca,train_loss,train_acc,val_loss,val_acc,tiempo_s,experimento
1,0.9765645312327965,0.5223620919046157,0.9851714571317037,0.5468686041751945,79.51468276977539,exp_bigru_pool_dim128_drop0.3
2,0.793807730955236,0.6509057414798894,0.8453182792052244,0.6377404830126893,72.02516412734985,exp_bigru_pool_dim128_drop0.3
3,0.6909079329640258,0.7092416334049739,0.7812334849284246,0.6680311092918543,77.44849801063538,exp_bigru_pool_dim128_drop0.3
4,0.6101559398610608,0.7483369153617849,0.7314046116975638,0.6983217355710193,71.94718790054321,exp_bigru_pool_dim128_drop0.3
5,0.5446523525356467,0.7849759492375397,0.728708627132269,0.7040523945968072,75.51798796653748,exp_bigru_pool_dim128_drop0.3
